date,open,close,high,low,volume,amount
2026-04-09,32.32,31.36,32.34,31.28,168319928.0,527851294208.0
2026-04-10,31.42,30.9,31.96,30.84,168300156.0,520047482039.99994
2026-04-13,30.7,30.66,30.76,30.26,118774442.0,364162439172.0
2026-04-14,31.16,30.88,31.26,30.44,108582040.0,335301339520.0
2026-04-15,31.2,30.9,31.34,30.64,105366843.0,325583544870.0
2026-04-16,31.06,32.06,32.22,31.06,183635718.0,588736111908.0001
2026-04-17,31.78,32.0,32.18,31.32,119020532.0,380865702400.0
2026-04-20,32.02,32.32,32.94,31.84,125873323.0,406822579936.0
2026-04-21,32.32,32.4,32.58,32.02,72569687.0,235125785879.99997
2026-04-22,32.18,31.8,32.2,31.72,81506568.0,259190886240.0
2026-04-23,31.8,31.18,31.8,30.84,135471125.0,422398967750.0
2026-04-24,31.0,31.2,31.34,30.8,77321253.0,241242309360.0
2026-04-27,31.2,31.1,31.34,30.62,88584715.0,275498463650.0
2026-04-28,31.1,29.92,31.2,29.9,211802864.0,633714169088.0
2026-04-29,29.92,30.14,30.36,29.7,167446422.0,504683515908.0
2026-04-30,29.82,29.02,29.88,28.8,284581634.0,825855901868.0
2026-05-04,29.06,30.98,32.14,29.06,234369711.0,726077364678.0
2026-05-05,30.8,30.46,30.92,29.84,110953102.0,337963148692.0
2026-05-06,30.52,30.82,31.18,30.3,208359203.0,642163063646.0
2026-05-07,31.22,31.12,31.48,30.76,142253475.0,442692814200.0
2026-05-08,31.02,31.68,31.92,30.86,132137552.0,418611764736.0
2026-05-11,31.52,31.7,32.0,31.08,113289085.0,359126399450.0
2026-05-12,31.7,31.46,32.1,31.36,96395374.0,303259846604.0
2026-05-13,31.52,31.8,32.08,31.12,102172260.0,324907786800.0
2026-05-14,32.5,31.72,32.88,31.72,160864410.0,510261908520.0
2026-05-15,31.6,30.7,31.72,30.46,152641980.0,468610878600.0
2026-05-18,31.0,30.66,31.06,30.14,116608436.0,357521464776.0
2026-05-19,30.68,30.64,31.06,30.34,89701522.0,274845463408.0
2026-05-20,30.54,30.14,30.54,29.86,109868643.0,331144090002.0
2026-05-21,30.2,29.66,30.6,29.42,117068449.0,347225019734.0
2026-05-22,30.08,30.0,30.18,29.74,100960958.0,302882874000.0
2026-05-26,30.0,29.76,30.52,29.3,148283733.0,441292389408.0
2026-05-27,29.6,28.4,30.68,28.24,283417486.0,804905660240.0
2026-05-28,28.34,28.56,28.76,27.5,238003859.0,679739021304.0
2026-05-29,28.56,28.04,28.62,27.52,248812612.0,697670564048.0
2026-06-01,28.04,28.72,28.96,28.04,164616523.0,472778654055.99994
2026-06-02,28.8,29.62,29.74,28.6,178513477.0,528756918874.0
2026-06-03,29.5,28.58,29.68,28.54,142370227.0,406894108766.0
2026-06-04,28.62,28.38,28.76,28.06,88262656.0,250489417727.99997
2026-06-05,28.62,27.8,28.74,27.8,154054795.0,428272330100.0
2026-06-08,27.34,27.38,28.1,26.98,152036878.0,416276971964.0
2026-06-09,27.1,27.2,27.46,26.98,103973917.0,282809054240.0
2026-06-10,27.02,26.32,27.02,25.78,226252092.0,595495506144.0
2026-06-11,26.2,25.84,26.46,25.58,124356371.0,321336862664.0
2026-06-12,26.06,26.2,26.5,25.96,131880583.0,345527127460.0
2026-06-15,26.7,26.26,26.78,26.18,94789343.0,248916814718.00003
2026-06-16,26.26,25.66,26.36,25.5,113820644.0,292063772504.0
2026-06-17,25.64,25.42,25.78,25.14,109311095.0,277868803490.0
2026-06-18,25.1,24.58,25.1,24.36,199675798.0,490803111483.99994
2026-06-22,24.2,23.72,24.3,23.52,241866864.0,573708201408.0
2026-06-23,23.5,22.62,23.6,22.5,244561408.0,553197904896.0
2026-06-24,22.62,22.96,23.16,22.26,219904218.0,504900084528.0
2026-06-25,22.74,22.3,22.8,21.86,178920826.0,398993441980.0
2026-06-26,21.98,21.42,22.16,21.3,191622768.0,410455969056.00006
2026-06-29,21.7,21.86,22.28,21.4,206092162.0,450517466132.0
2026-06-30,21.88,21.64,22.1,21.34,173878074.0,376272152136.0
2026-07-02,22.4,22.6,22.88,22.02,222813169.0,503557761940.00006
2026-07-03,22.98,22.96,24.1,22.8,268232162.0,615861043952.0
2026-07-06,23.3,23.28,23.76,22.58,160205588.0,372958608864.00006
2026-07-07,23.3,23.1,24.18,23.02,202757349.0,468369476190.00006
